passport,destination,type,days,confidence
AD,LA,visa-on-arrival,30,high
AD,LB,visa-on-arrival,30,high
AD,LC,visa-free,42,high
AD,LI,visa-free,90,high
AD,LK,visa-on-arrival,30,high
AD,LR,visa-required,,disputed
AD,LS,e-visa,,disputed
AD,LT,visa-free,90,high
AD,LU,visa-free,90,high
AD,LV,visa-free,90,high
AD,LY,e-visa,,high
AD,MA,visa-free,90,high
AD,MC,visa-free,90,high
AD,MD,visa-free,90,high
AD,ME,visa-free,90,high
AD,MG,visa-on-arrival,90,high
AD,MH,visa-on-arrival,90,high
AD,MK,visa-free,90,high
AD,ML,visa-free,,disputed
AD,MM,visa-required,,high
AD,MN,e-visa,30,high
AD,MO,visa-free,90,high
AD,MR,e-visa,,high
AD,MT,visa-free,90,high
AD,MU,visa-on-arrival,60,high
AD,MV,visa-on-arrival,30,high
AD,MW,visa-on-arrival,90,high
AD,MX,visa-free,180,high
AD,MY,visa-free,30,high
AD,MZ,visa-on-arrival,30,high
AD,NA,visa-on-arrival,,high
AD,NE,visa-required,,high
AD,NG,e-visa,,high
AD,NI,visa-free,90,high
AD,NL,visa-free,90,high
AD,NO,visa-free,90,high
AD,NP,visa-on-arrival,90,high
AD,NR,visa-required,,high
AD,NZ,eta,,medium
AD,OM,e-visa,30,disputed
AD,PA,visa-free,180,high
AD,PE,visa-free,183,high
AD,PG,visa-on-arrival,30,disputed
AD,PH,visa-free,30,high
AD,PK,e-visa,90,high
AD,PL,visa-free,90,high
AD,PS,visa-free,,medium
AD,PT,visa-free,90,high
AD,PW,visa-on-arrival,30,high
AD,PY,visa-free,90,high
AD,QA,visa-on-arrival,30,high
AD,RO,visa-free,90,high
AD,RS,visa-free,90,high
AD,RU,visa-free,90,high
AD,RW,visa-on-arrival,,disputed
AD,SA,visa-on-arrival,90,high
AD,SB,visa-on-arrival,,medium
AD,SC,visa-free,90,medium
AD,SD,visa-required,,high
AD,SE,visa-free,90,high
AD,SG,visa-free,90,high
AD,SI,visa-free,90,high
AD,SK,visa-free,90,high
AD,SL,e-visa,,high
AD,SM,visa-free,90,high
AD,SN,visa-on-arrival,90,high
AD,SO,e-visa,30,high
AD,SR,e-visa,,disputed
AD,SS,e-visa,,medium
AD,ST,visa-free,15,high
AD,SV,visa-free,90,high
AD,SY,e-visa,,high
AD,SZ,visa-free,30,high
AD,TD,visa-required,,disputed
AD,TG,e-visa,15,high
AD,TH,visa-free,60,high
AD,TJ,visa-free,30,high
AD,TL,visa-on-arrival,30,high
AD,TM,visa-required,,high
AD,TN,visa-free,90,high
AD,TO,visa-required,,high
AD,TR,visa-free,90,high
AD,TT,visa-required,,high
AD,TV,visa-on-arrival,30,high
AD,TW,visa-free,90,high
AD,TZ,visa-on-arrival,90,high
AD,UA,visa-free,90,high
AD,UG,visa-on-arrival,,disputed
AD,US,eta,,medium
AD,UY,visa-free,90,high
AD,UZ,visa-free,30,high
AD,VA,visa-free,90,high
AD,VC,visa-free,30,high
AD,VE,visa-free,90,high
AD,VN,e-visa,30,high
AD,VU,visa-free,30,high
AD,WS,visa-free,60,disputed
AD,XK,visa-free,90,high
AD,YE,visa-required,,high
AD,ZA,visa-free,90,high
AD,ZM,visa-free,90,high
AD,ZW,visa-on-arrival,90,high
AE,AD,visa-free,90,high
AE,AF,visa-required,,medium
AE,AG,visa-free,30,high
AE,AL,visa-free,90,high
AE,AM,visa-free,180,high
AE,AO,visa-free,30,high
AE,AR,visa-free,90,high
AE,AT,visa-free,90,high
AE,AU,visa-required,,disputed
AE,AZ,visa-free,90,high
AE,BA,visa-free,90,high
AE,BB,visa-free,90,high
AE,BD,visa-on-arrival,30,high
AE,BE,visa-free,90,high
AE,BF,visa-free,30,high
AE,BG,visa-free,90,high
AE,BH,freedom-of-movement,,high
AE,BI,visa-on-arrival,30,high
AE,BJ,visa-free,90,disputed
AE,BN,visa-free,30,high
AE,BO,visa-free,90,high
AE,BR,visa-free,90,high
AE,BS,visa-free,90,high
AE,BT,e-visa,90,high
AE,BW,visa-free,90,high
AE,BY,visa-free,90,high
AE,BZ,visa-required,,high
AE,CA,eta,180,high
AE,CD,e-visa,7,high
AE,CF,visa-on-arrival,,high
AE,CG,visa-on-arrival,30,high
AE,CH,visa-free,90,high
AE,CI,e-visa,90,disputed
AE,CL,visa-free,90,high
AE,CM,e-visa,,high
AE,CN,visa-free,30,high
AE,CO,visa-free,90,high
AE,CR,visa-free,90,high
AE,CU,visa-free,90,high
AE,CV,visa-on-arrival,30,high
AE,CY,visa-free,90,high
AE,CZ,visa-free,90,high
AE,DE,visa-free,90,high
AE,DJ,visa-on-arrival,90,high
AE,DK,visa-free,90,high
AE,DM,visa-free,21,high
AE,DO,visa-free,90,high
AE,DZ,visa-required,,high
AE,EC,visa-free,90,high
AE,EE,visa-free,90,high
AE,EG,visa-free,90,high
AE,ER,visa-required,,high
AE,ES,visa-free,90,high
AE,ET,visa-on-arrival,90,high
AE,FI,visa-free,90,high
AE,FJ,visa-free,120,high
AE,FM,visa-free,30,high
AE,FR,visa-free,90,high
AE,GA,e-visa,90,high
AE,GB,eta,180,high
AE,GD,visa-free,90,high
AE,GE,visa-free,360,high
AE,GH,visa-on-arrival,30,high
AE,GM,visa-free,90,high
AE,GN,visa-on-arrival,90,high
AE,GQ,visa-on-arrival,,disputed
AE,GR,visa-free,90,high
AE,GT,visa-free,90,high
AE,GW,visa-on-arrival,90,high
AE,GY,visa-free,30,high
AE,HK,visa-free,30,high
AE,HN,visa-free,90,high
AE,HR,visa-free,90,high
AE,HT,visa-free,90,high
AE,HU,visa-free,90,high
AE,ID,visa-on-arrival,30,high
AE,IE,visa-free,90,high
AE,IL,eta,90,high
AE,IN,visa-on-arrival,30,high
AE,IQ,e-visa,30,disputed
AE,IR,visa-free,15,high
AE,IS,visa-free,90,high
AE,IT,visa-free,90,high
AE,JM,visa-on-arrival,30,high
AE,JO,visa-free,90,high
AE,JP,visa-free,90,high
AE,KE,eta,90,high
AE,KG,visa-free,60,high
AE,KH,visa-on-arrival,30,high
AE,KI,visa-free,30,high
AE,KM,visa-on-arrival,45,high
AE,KN,eta,90,high
AE,KP,visa-required,,high
AE,KR,visa-free,90,high
AE,KW,freedom-of-movement,,high
AE,KZ,visa-free,30,high
AE,LA,visa-on-arrival,30,high
AE,LB,visa-free,180,high
AE,LC,visa-free,60,high
AE,LI,visa-free,90,high
AE,LK,eta,30,disputed
AE,LR,e-visa,,medium
AE,LS,visa-required,,high
AE,LT,visa-free,90,high
AE,LU,visa-free,90,high
AE,LV,visa-free,90,high
AE,LY,e-visa,,high
AE,MA,visa-free,90,high
AE,MC,visa-free,90,high
AE,MD,visa-free,90,high
AE,ME,visa-free,90,high
AE,MG,visa-on-arrival,90,high
AE,MH,visa-on-arrival,90,high
AE,MK,visa-free,90,high
AE,ML,visa-free,90,high
AE,MM,visa-required,,high
AE,MN,visa-free,30,high
AE,MO,visa-free,30,high
AE,MR,e-visa,30,high
AE,MT,visa-free,90,high
AE,MU,visa-free,90,high
AE,MV,visa-on-arrival,30,high
AE,MW,visa-on-arrival,30,disputed
AE,MX,visa-free,180,high
AE,MY,visa-free,90,high
AE,MZ,eta,30,high
AE,NA,visa-on-arrival,90,high
AE,NE,visa-on-arrival,,disputed
AE,NG,e-visa,30,high
AE,NI,e-visa,,disputed
AE,NL,visa-free,90,high
AE,NO,visa-free,90,high
AE,NP,visa-on-arrival,90,high
AE,NR,visa-free,90,high
AE,NZ,eta,,medium
AE,OM,freedom-of-movement,,high
AE,PA,visa-free,90,high
AE,PE,visa-free,90,high
AE,PG,visa-on-arrival,60,disputed
AE,PH,visa-free,30,high
AE,PK,visa-free,90,high
AE,PL,visa-free,90,high
AE,PS,visa-free,,high
AE,PT,visa-free,90,high
AE,PW,visa-on-arrival,30,high
AE,PY,visa-free,90,high
AE,QA,freedom-of-movement,,high
AE,RO,visa-free,90,high
AE,RS,visa-free,90,high
AE,RU,visa-free,90,high
AE,RW,visa-on-arrival,30,high
AE,SA,freedom-of-movement,,high
AE,SB,visa-free,90,high
AE,SC,visa-free,90,medium
AE,SD,visa-free,,high
AE,SE,visa-free,90,high
AE,SG,visa-free,30,high
AE,SI,visa-free,90,high
AE,SK,visa-free,90,high
AE,SL,visa-on-arrival,30,high
AE,SM,visa-free,90,high
AE,SN,visa-free,90,high
AE,SO,e-visa,30,high
AE,SR,visa-free,90,high
AE,SS,e-visa,,high
AE,ST,visa-free,15,high
AE,SV,visa-free,90,high
AE,SY,visa-on-arrival,,high
AE,SZ,visa-free,30,high
AE,TD,visa-free,90,high
AE,TG,e-visa,15,high
AE,TH,visa-free,60,high
AE,TJ,visa-free,30,high
AE,TL,visa-on-arrival,30,high
AE,TM,visa-required,,high
AE,TN,visa-free,90,high
AE,TO,visa-free,60,high
AE,TR,visa-free,90,high
AE,TT,visa-free,90,disputed
AE,TV,visa-on-arrival,30,high
AE,TW,e-visa,30,high
AE,TZ,visa-on-arrival,90,high
AE,UA,visa-free,90,high
AE,UG,visa-free,90,disputed
AE,US,visa-required,,high
AE,UY,visa-free,90,high
AE,UZ,visa-free,30,high
AE,VA,visa-free,90,high
AE,VC,visa-free,90,high
AE,VE,e-visa,,disputed
AE,VN,e-visa,90,high
AE,VU,visa-free,90,high
AE,WS,visa-on-arrival,,medium
AE,XK,visa-free,90,high
AE,YE,visa-on-arrival,90,high
AE,ZA,visa-free,90,high
AE,ZM,visa-free,30,high
AE,ZW,visa-on-arrival,30,high
AF,AD,visa-required,,high
AF,AE,visa-required,,disputed
AF,AG,e-visa,,high
AF,AL,e-visa,90,high
AF,AM,visa-required,,high
AF,AO,e-visa,30,disputed
AF,AR,visa-required,,high
AF,AT,visa-required,,high
AF,AU,visa-required,,disputed
AF,AZ,visa-required,,high
AF,BA,visa-required,,high
AF,BB,visa-required,,high
AF,BD,visa-required,,high
AF,BE,visa-required,,high
AF,BF,e-visa,,high
AF,BG,visa-required,,high
AF,BH,visa-on-arrival,14,disputed
AF,BI,visa-on-arrival,30,high
AF,BJ,e-visa,30,high
AF,BN,visa-required,,high
AF,BO,e-visa,,medium
AF,BR,visa-required,,high
AF,BS,e-visa,,high
AF,BT,e-visa,90,high
AF,BW,e-visa,90,high
AF,BY,visa-required,,high
AF,BZ,visa-required,,high
AF,CA,visa-required,,high
AF,CD,e-visa,7,high
AF,CF,visa-required,,high
AF,CG,visa-required,,high
AF,CH,visa-required,,high
AF,CI,e-visa,90,disputed
AF,CL,visa-required,,high
AF,CM,e-visa,,high
AF,CN,visa-required,,high
AF,CO,e-visa,,medium
AF,CR,visa-required,,high
AF,CU,e-visa,90,disputed
AF,CV,visa-required,,disputed
AF,CY,visa-required,,high
AF,CZ,visa-required,,high
AF,DE,visa-required,,high
AF,DJ,e-visa,90,disputed
AF,DK,visa-required,,high
AF,DM,visa-free,21,high
AF,DO,visa-required,,high
AF,DZ,visa-required,,high
AF,EC,visa-required,,disputed
AF,EE,visa-required,,high
AF,EG,visa-free,90,disputed
AF,ER,visa-required,,high
AF,ES,visa-required,,high
AF,ET,visa-required,,disputed
AF,FI,visa-required,,high
AF,FJ,visa-required,,medium
AF,FM,visa-free,30,high
AF,FR,visa-required,,high
AF,GA,e-visa,90,high
AF,GB,visa-required,,high
AF,GD,visa-required,,high
AF,GE,visa-required,,high
AF,GH,visa-required,,high
AF,GM,visa-required,,high
AF,GN,e-visa,90,high
AF,GQ,e-visa,,high
AF,GR,visa-required,,high
AF,GT,visa-required,,high
AF,GW,visa-on-arrival,90,high
AF,GY,e-visa,,high
AF,HK,e-visa,,high
AF,HN,visa-required,,high
AF,HR,visa-required,,high
AF,HT,visa-free,90,high
AF,HU,visa-required,,high
AF,ID,visa-required,,disputed
AF,IE,visa-required,,high
AF,IL,visa-required,,disputed
AF,IN,e-visa,30,high
AF,IQ,e-visa,30,high
AF,IR,visa-required,,high
AF,IS,visa-required,,high
AF,IT,visa-required,,high
AF,JM,visa-required,,high
AF,JO,visa-required,,high
AF,JP,visa-required,,high
AF,KE,eta,90,high
AF,KG,e-visa,60,high
AF,KH,visa-on-arrival,30,high
AF,KI,visa-required,,high
AF,KM,visa-on-arrival,45,high
AF,KN,e-visa,30,high
AF,KP,visa-required,,high
AF,KR,visa-required,,disputed
AF,KW,visa-required,,high
AF,KZ,visa-required,,disputed
AF,LA,visa-required,,high
AF,LB,visa-required,,high
AF,LC,visa-required,,high
AF,LI,visa-required,,high
AF,LK,eta,30,disputed
AF,LR,e-visa,,medium
AF,LS,visa-required,,high
AF,LT,visa-required,,high
AF,LU,visa-required,,high
AF,LV,visa-required,,high
AF,LY,visa-required,,disputed
AF,MA,visa-required,,high
AF,MC,visa-required,,high
AF,MD,visa-required,,disputed
AF,ME,visa-required,,high
AF,MG,visa-on-arrival,90,high
AF,MH,visa-required,,high
AF,MK,visa-required,,high
AF,ML,visa-required,,high
AF,MM,visa-required,,high
AF,MN,visa-required,,high
AF,MO,visa-on-arrival,,high
AF,MR,e-visa,30,high
AF,MT,visa-required,,high
AF,MU,visa-required,,high
AF,MV,visa-on-arrival,30,high
AF,MW,e-visa,30,high
AF,MX,visa-required,,high
AF,MY,e-visa,30,high
AF,MZ,visa-on-arrival,30,high
AF,NA,e-visa,90,high
AF,NE,visa-required,,high
AF,NG,e-visa,30,high
AF,NI,visa-required,,high
AF,NL,visa-required,,high
AF,NO,visa-required,,high
AF,NP,visa-required,,high
AF,NR,visa-required,,high
AF,NZ,visa-required,,medium
AF,OM,visa-required,,disputed
AF,PA,visa-required,,high
AF,PE,visa-required,,high
AF,PG,e-visa,60,high
AF,PH,visa-required,,high
AF,PK,e-visa,90,high
AF,PL,visa-required,,high
AF,PS,visa-required,,high
AF,PT,visa-required,,high
AF,PW,visa-on-arrival,30,high
AF,PY,visa-required,,high
AF,QA,e-visa,,high
AF,RO,visa-required,,high
AF,RS,e-visa,90,disputed
AF,RU,visa-required,,high
AF,RW,visa-on-arrival,30,high
AF,SA,visa-required,,high
AF,SB,visa-required,,high
AF,SC,visa-free,90,medium
AF,SD,visa-required,,high
AF,SE,visa-required,,high
AF,SG,visa-required,,disputed
AF,SI,visa-required,,high
AF,SK,visa-required,,high
AF,SL,e-visa,90,high
AF,SM,visa-required,,high
AF,SN,visa-required,,high
AF,SO,e-visa,30,high
AF,SR,e-visa,90,high
AF,SS,e-visa,,high
AF,ST,visa-required,,disputed
AF,SV,visa-required,,disputed
AF,SY,e-visa,,high
AF,SZ,visa-required,,high
AF,TD,e-visa,,high
AF,TG,e-visa,15,high
AF,TH,e-visa,60,high
AF,TJ,visa-required,,high
AF,TL,visa-on-arrival,30,high
AF,TM,visa-required,,high
AF,TN,visa-required,,high
AF,TO,visa-required,,high
AF,TR,visa-required,,high
AF,TT,e-visa,90,disputed
AF,TV,visa-on-arrival,30,high
AF,TW,visa-required,,high
AF,TZ,e-visa,,high
AF,UA,visa-required,,high
AF,UG,e-visa,90,high
AF,US,visa-required,,medium
AF,UY,visa-required,,high
AF,UZ,visa-required,,high
AF,VA,visa-required,,high
AF,VC,visa-required,,high
AF,VE,e-visa,,disputed
AF,VN,e-visa,90,high
AF,VU,e-visa,120,high
AF,WS,visa-on-arrival,,medium
AF,XK,visa-required,,high
AF,YE,visa-required,,high
AF,ZA,visa-required,,high
AF,ZM,e-visa,90,high
AF,ZW,e-visa,30,high
AG,AD,visa-free,90,high
AG,AE,e-visa,,high
AG,AF,visa-required,,high
AG,AL,visa-free,90,high
AG,AM,visa-on-arrival,120,high
AG,AO,visa-free,30,high
AG,AR,visa-required,,high
AG,AT,visa-free,90,high
AG,AU,visa-required,,disputed
AG,AZ,visa-required,,high
AG,BA,visa-free,90,high
AG,BB,visa-free,180,high
AG,BD,visa-on-arrival,,high
AG,BE,visa-free,90,high
AG,BF,e-visa,,high
AG,BG,visa-free,90,high
AG,BH,e-visa,14,high
AG,BI,visa-on-arrival,,high
AG,BJ,e-visa,30,high
AG,BN,visa-required,,high
AG,BO,visa-on-arrival,90,disputed
AG,BR,visa-free,90,high
AG,BS,visa-free,240,high
AG,BT,e-visa,90,high
AG,BW,visa-free,90,high
AG,BY,visa-free,30,high
AG,BZ,visa-free,180,high
AG,CA,visa-required,,high
AG,CD,e-visa,7,high
AG,CF,visa-required,,high
AG,CG,visa-required,,high
AG,CH,visa-free,90,high
AG,CI,e-visa,90,disputed
AG,CL,visa-free,90,high
AG,CM,e-visa,,high
AG,CN,visa-free,30,high
AG,CO,visa-free,90,high
AG,CR,visa-free,90,high
AG,CU,visa-free,30,high
AG,CV,visa-free,,disputed
AG,CY,visa-free,90,high
AG,CZ,visa-free,90,high
AG,DE,visa-free,90,high
AG,DJ,visa-on-arrival,,high
AG,DK,visa-free,90,high
AG,DM,visa-free,,high
AG,DO,visa-free,30,high
AG,DZ,visa-required,,high
AG,EC,visa-free,90,high
AG,EE,visa-free,90,high
AG,EG,visa-on-arrival,30,high
AG,ER,visa-required,,high
AG,ES,visa-free,90,high
AG,ET,e-visa,90,high
AG,FI,visa-free,90,high
AG,FJ,visa-free,120,high
AG,FM,visa-free,30,high
AG,FR,visa-free,90,high
AG,GA,e-visa,,high
AG,GB,eta,180,high
AG,GD,visa-free,,high
AG,GE,visa-free,365,high
AG,GH,visa-required,,high
AG,GM,visa-free,90,high
AG,GN,e-visa,,high
AG,GQ,e-visa,,high
AG,GR,visa-free,90,high
AG,GT,visa-free,90,high
AG,GW,visa-on-arrival,90,high
AG,GY,visa-free,180,high
AG,HK,visa-free,90,high
AG,HN,visa-free,90,high
AG,HR,visa-free,90,high
AG,HT,visa-free,90,high
AG,HU,visa-free,90,high
AG,ID,visa-required,,disputed
AG,IE,visa-free,90,high
AG,IL,visa-required,,disputed
AG,IN,e-visa,60,high
AG,IQ,e-visa,,high
AG,IR,visa-on-arrival,30,high
AG,IS,visa-free,90,high
AG,IT,visa-free,90,high
AG,JM,visa-free,180,high
AG,JO,visa-on-arrival,,high
AG,JP,visa-required,,high
AG,KE,eta,90,high
AG,KG,e-visa,,high
AG,KH,visa-on-arrival,30,high
AG,KI,visa-free,30,high
AG,KM,visa-on-arrival,,high
AG,KN,visa-free,,high
AG,KP,visa-required,,high
AG,KR,visa-free,90,high
AG,KW,visa-required,,high
AG,KZ,e-visa,,high
AG,LA,visa-on-arrival,30,high
AG,LB,visa-on-arrival,30,high
AG,LC,visa-free,,high
AG,LI,visa-free,90,high
AG,LK,eta,30,disputed
AG,LR,e-visa,,high
AG,LS,visa-free,30,high
AG,LT,visa-free,90,high
AG,LU,visa-free,90,high
AG,LV,visa-free,90,high
AG,LY,e-visa,,high
AG,MA,visa-required,,high
AG,MC,visa-free,90,high
AG,MD,visa-free,90,high
AG,ME,visa-free,90,high
AG,MG,visa-on-arrival,90,high
AG,MH,visa-required,,high
AG,MK,visa-free,90,high
AG,ML,visa-required,,high
AG,MM,visa-required,,high
AG,MN,e-visa,30,high
AG,MO,visa-on-arrival,,high
AG,MR,e-visa,,high
AG,MT,visa-free,90,high
AG,MU,visa-free,90,high
AG,MV,visa-on-arrival,30,high
AG,MW,visa-free,90,high
AG,MX,visa-required,,high
AG,MY,visa-free,30,high
AG,MZ,visa-on-arrival,30,high
AG,NA,e-visa,,disputed
AG,NE,visa-required,,high
AG,NG,e-visa,,high
AG,NI,visa-free,90,high
AG,NL,visa-free,90,high
AG,NO,visa-free,90,high
AG,NP,visa-on-arrival,30,high
AG,NR,visa-required,,high
AG,NZ,visa-required,,high
AG,OM,visa-required,,disputed
AG,PA,visa-free,90,high
AG,PE,visa-free,180,high
AG,PG,eta,,medium
AG,PH,visa-free,30,high
AG,PK,e-visa,,high
AG,PL,visa-free,90,high
AG,PS,visa-free,,high
AG,PT,visa-free,90,high
AG,PW,visa-on-arrival,30,high
AG,PY,visa-required,,high
AG,QA,visa-free,90,disputed
AG,RO,visa-free,90,high
AG,RS,visa-free,90,high
AG,RU,visa-free,90,high
AG,RW,visa-on-arrival,30,disputed
AG,SA,visa-required,,disputed
AG,SB,visa-on-arrival,,medium
AG,SC,visa-on-arrival,90,disputed
AG,SD,visa-required,,high
AG,SE,visa-free,90,high
AG,SG,visa-free,30,high
AG,SI,visa-free,90,high
AG,SK,visa-free,90,high
AG,SL,visa-on-arrival,,high
AG,SM,visa-free,90,high
AG,SN,visa-on-arrival,,disputed
AG,SO,e-visa,30,high
AG,SR,visa-free,180,high
AG,SS,e-visa,,high
AG,ST,e-visa,,high
AG,SV,visa-free,90,high
AG,SY,e-visa,,high
AG,SZ,visa-free,30,high
AG,TD,e-visa,,high
AG,TG,e-visa,15,high
AG,TH,e-visa,,high
AG,TJ,e-visa,45,high
AG,TL,visa-on-arrival,30,high
AG,TM,visa-required,,high
AG,TN,visa-free,90,high
AG,TO,visa-required,,high
AG,TR,e-visa,30,disputed
AG,TT,visa-free,180,high
AG,TV,visa-on-arrival,30,high
AG,TW,visa-required,,high
AG,TZ,visa-free,90,high
AG,UA,visa-free,90,high
AG,UG,visa-free,90,high
AG,US,visa-required,,high
AG,UY,visa-required,,high
AG,UZ,visa-free,30,high
AG,VA,visa-free,90,high
AG,VC,visa-free,,high
AG,VE,visa-free,90,high
AG,VN,e-visa,90,high
AG,VU,visa-free,30,high
AG,WS,visa-on-arrival,60,high
AG,XK,visa-free,90,high
AG,YE,visa-required,,high
AG,ZA,visa-free,30,high
AG,ZM,visa-free,90,high
AG,ZW,visa-free,90,high
AL,AD,visa-free,90,high
AL,AE,visa-free,180,high
AL,AF,e-visa,30,disputed
AL,AG,visa-free,180,high
AL,AM,visa-free,180,high
AL,AO,e-visa,30,disputed
AL,AR,visa-required,,high
AL,AT,visa-free,90,high
AL,AU,visa-required,,disputed
AL,AZ,visa-free,90,high
AL,BA,visa-free,90,high
AL,BB,visa-free,28,high
AL,BD,visa-on-arrival,30,high
AL,BE,visa-free,90,high
AL,BF,e-visa,,high
AL,BG,visa-free,90,high
AL,BH,visa-on-arrival,14,disputed
AL,BI,visa-on-arrival,30,high
AL,BJ,e-visa,30,high
AL,BN,visa-required,,high
AL,BO,e-visa,,medium
AL,BR,visa-free,90,high
AL,BS,e-visa,90,high
AL,BT,e-visa,90,high
AL,BW,e-visa,,high
AL,BY,visa-free,10,high
AL,BZ,visa-required,,high
AL,CA,visa-required,,high
AL,CD,e-visa,7,high
AL,CF,visa-required,,high
AL,CG,visa-required,,high
AL,CH,visa-free,90,high
AL,CI,e-visa,90,disputed
AL,CL,visa-free,90,high
AL,CM,e-visa,,high
AL,CN,visa-free,90,high
AL,CO,visa-free,90,high
AL,CR,visa-required,,high
AL,CU,e-visa,90,high
AL,CV,visa-on-arrival,30,high
AL,CY,visa-free,90,high
AL,CZ,visa-free,90,high
AL,DE,visa-free,90,high
AL,DJ,e-visa,90,disputed
AL,DK,visa-free,90,high
AL,DM,visa-free,21,high
AL,DO,visa-free,90,high
AL,DZ,visa-required,,high
AL,EC,visa-required,,disputed
AL,EE,visa-free,90,high
AL,EG,visa-on-arrival,30,high
AL,ER,visa-required,,high
AL,ES,visa-free,90,high
AL,ET,e-visa,90,high
AL,FI,visa-free,90,high
AL,FJ,e-visa,,disputed
AL,FM,visa-free,30,high
AL,FR,visa-free,90,high
AL,GA,e-visa,90,high
AL,GB,visa-required,,high
AL,GD,visa-required,,high
AL,GE,visa-free,365,high
AL,GH,visa-required,,high
AL,GM,visa-free,90,high
AL,GN,e-visa,90,high
AL,GQ,e-visa,,high
AL,GR,visa-free,90,high
AL,GT,visa-required,,high
AL,GW,visa-on-arrival,90,high
AL,GY,visa-free,90,high
AL,HK,visa-free,14,high
AL,HN,visa-required,,high
AL,HR,visa-free,90,high
AL,HT,visa-free,90,high
AL,HU,visa-free,90,high
AL,ID,visa-on-arrival,30,high
AL,IE,e-visa,,disputed
AL,IL,eta,90,high
AL,IN,e-visa,30,high
AL,IQ,e-visa,30,high
AL,IR,visa-free,,disputed
AL,IS,visa-free,90,high
AL,IT,visa-free,90,high
AL,JM,visa-on-arrival,90,high
AL,JO,visa-on-arrival,,high
AL,JP,visa-required,,high
AL,KE,eta,90,high
AL,KG,visa-free,30,high
AL,KH,visa-on-arrival,30,high
AL,KI,visa-required,,high
AL,KM,visa-on-arrival,45,high
AL,KN,eta,90,disputed
AL,KP,visa-required,,high
AL,KR,eta,30,high
AL,KW,visa-required,,high
AL,KZ,visa-free,90,high
AL,LA,visa-on-arrival,30,high
AL,LB,visa-required,,high
AL,LC,visa-required,,high
AL,LI,visa-free,90,high
AL,LK,eta,30,disputed
AL,LR,e-visa,,medium
AL,LS,visa-required,,high
AL,LT,visa-free,90,high
AL,LU,visa-free,90,high
AL,LV,visa-free,90,high
AL,LY,e-visa,,high
AL,MA,visa-free,90,disputed
AL,MC,visa-free,90,high
AL,MD,visa-free,90,high
AL,ME,visa-free,90,high
AL,MG,visa-on-arrival,90,high
AL,MH,visa-required,,high
